Volume m3,Ground Surface m2,Amount Buildings,Surface Build %,Inset 1,Inset 2,Inset 3,Inset 4,Inset 5,Inset 6,Inset 7,Inset 8,Inset 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Height 7,Height 8,Height 9,Roof 1,Roof 2,Roof 3,Roof 4,Roof 5,Roof 6,Roof 7,Roof 8,Roof 9
4413.3,525.57,6,32.8,0.0,0.53,0.7,0.0,0.88,0.0,0.9,0.44,0.65,0.0,13.5,11.24,0.0,4.5,0.0,12.9,2.82,2.9,0,1,1,0,1,0,1,0,0
2585.41,289.13,3,18.1,0.0,0.0,0.0,0.89,0.0,0.0,0.85,0.34,0.0,0.0,0.0,0.0,13.47,0.0,0.0,3.21,13.14,0.0,0,0,0,0,0,0,1,0,0
5937.42,743.74,8,46.5,0.82,0.52,0.0,0.87,0.74,0.79,0.36,0.86,0.67,4.98,7.4,0.0,5.12,12.44,4.22,2.24,13.44,10.17,1,1,0,1,0,0,0,0,1
1602.4,278.37,5,17.4,0.0,0.57,0.55,0.0,0.82,0.41,0.31,0.0,0.0,0.0,11.36,3.11,0.0,2.17,13.23,7.12,0.0,0.0,0,0,1,0,0,0,0,0,0
748.08,112.61,2,7.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,10.19,0,0,0,1,0,0,0,0,0
3835.54,458.98,8,28.7,0.0,0.49,0.44,0.47,0.79,0.37,0.68,0.47,0.71,0.0,9.22,13.43,3.72,11.69,6.36,4.24,5.11,9.56,0,1,1,0,1,1,0,1,0
2978.17,460.35,6,28.8,0.0,0.66,0.87,0.39,0.78,0.0,0.41,0.0,0.68,0.0,7.57,4.31,8.98,9.44,0.0,3.24,0.0,5.38,0,1,0,0,0,0,1,0,0
3681.13,402.26,6,25.1,0.87,0.58,0.42,0.65,0.67,0.0,0.36,0.0,0.0,6.62,12.32,13.33,10.43,9.6,0.0,4.4,0.0,0.0,1,1,0,1,0,0,1,0,0
623.29,81.77,2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57,7.66,0.0,0,0,0,0,0,0,1,1,0
494.55,59.46,1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32,0.0,0.0,0,0,0,0,0,0,1,0,0
3426.28,421.89,7,26.4,0.54,0.33,0.77,0.47,0.57,0.48,0.0,0.0,0.77,5.01,2.55,10.12,2.52,3.4,9.25,0.0,0.0,13.01,0,1,1,1,0,0,0,0,0
301.95,77.99,1,4.9,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2848.03,433.05,7,27.1,0.52,0.87,0.74,0.66,0.39,0.39,0.33,0.0,0.0,3.38,9.31,3.6,4.89,5.93,12.31,9.99,0.0,0.0,0,1,0,0,0,1,0,0,0
1892.78,285.01,5,17.8,0.37,0.67,0.38,0.0,0.0,0.0,0.7,0.62,0.0,12.02,3.26,10.94,0.0,0.0,0.0,6.73,6.91,0.0,0,0,1,0,0,0,1,1,0
2482.62,301.1,5,18.8,0.8,0.36,0.0,0.0,0.52,0.0,0.54,0.0,0.61,13.87,8.59,0.0,0.0,7.33,0.0,2.58,0.0,3.39,0,1,0,0,1,0,1,0,1
2738.53,261.89,4,16.4,0.89,0.63,0.0,0.35,0.0,0.0,0.0,0.4,0.0,11.41,9.62,0.0,11.1,0.0,0.0,0.0,7.29,0.0,1,0,0,1,0,0,0,0,0
4485.1,520.37,6,32.5,0.77,0.68,0.0,0.75,0.49,0.86,0.0,0.56,0.0,3.36,13.69,0.0,6.22,10.49,11.6,0.0,6.98,0.0,1,1,0,0,0,0,0,1,0
6493.2,714.21,8,44.6,0.0,0.88,0.74,0.51,0.72,0.78,0.69,0.55,0.72,0.0,12.7,5.42,5.59,11.5,5.89,12.38,7.37,8.58,0,1,0,1,0,0,1,0,1
790.22,70.32,1,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0,0,0,0,0,0,0,0,0
5589.56,699.02,9,43.7,0.48,0.45,0.86,0.83,0.71,0.64,0.63,0.43,0.76,7.94,4.74,5.07,6.76,6.53,13.96,6.9,11.26,11.13,0,1,0,1,0,0,0,0,1
223.53,36.53,1,2.3,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
3480.31,398.1,6,24.9,0.0,0.33,0.51,0.69,0.47,0.87,0.0,0.0,0.65,0.0,2.31,4.53,9.42,3.18,9.44,0.0,0.0,13.77,0,0,1,1,0,1,0,0,1
3720.82,392.87,6,24.6,0.79,0.32,0.0,0.0,0.36,0.67,0.33,0.0,0.89,12.16,8.73,0.0,0.0,9.03,8.43,11.93,0.0,7.74,1,0,0,0,1,1,1,0,0
3681.53,413.92,6,25.9,0.0,0.0,0.57,0.0,0.65,0.62,0.8,0.46,0.59,0.0,0.0,4.22,0.0,2.1,13.63,11.62,11.09,10.06,0,0,1,0,1,1,1,1,1
2973.83,484.77,6,30.3,0.55,0.0,0.0,0.61,0.31,0.88,0.78,0.75,0.0,3.12,0.0,0.0,4.91,8.37,5.43,12.35,2.49,0.0,1,0,0,1,0,1,1,1,0
3685.84,491.87,8,30.7,0.36,0.88,0.59,0.0,0.62,0.47,0.82,0.32,0.37,13.81,6.0,10.08,0.0,6.25,11.76,4.97,7.5,12.53,1,0,1,0,0,1,1,1,1
3816.29,543.47,6,34.0,0.89,0.0,0.7,0.0,0.51,0.79,0.45,0.0,0.83,3.05,0.0,6.93,0.0,8.79,8.54,11.69,0.0,8.27,1,0,0,0,1,0,0,0,1
3304.02,490.03,7,30.6,0.35,0.44,0.55,0.0,0.64,0.63,0.78,0.85,0.0,6.38,7.41,7.95,0.0,8.86,5.48,5.71,6.5,0.0,1,0,1,0,0,1,0,0,0
1644.36,194.25,4,12.1,0.0,0.0,0.6,0.0,0.0,0.47,0.49,0.52,0.0,0.0,0.0,12.4,0.0,0.0,5.38,5.08,8.77,0.0,0,0,1,0,0,0,1,1,0
483.43,60.97,2,3.8,0.0,0.0,0.0,0.35,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,6.78,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
806.98,66.18,2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08,9.55,0.0,0,0,0,0,0,0,1,1,0
3436.58,364.1,4,22.8,0.0,0.0,0.83,0.6,0.88,0.0,0.0,0.0,0.48,0.0,0.0,12.15,6.94,9.58,0.0,0.0,0.0,4.88,0,0,1,0,0,0,0,0,0
1115.04,162.8,3,10.2,0.0,0.0,0.0,0.55,0.0,0.47,0.63,0.0,0.0,0.0,0.0,0.0,8.31,0.0,8.0,5.07,0.0,0.0,0,0,0,0,0,0,1,0,0
2259.85,326.46,5,20.4,0.63,0.54,0.0,0.0,0.0,0.6,0.0,0.63,0.63,6.55,8.81,0.0,0.0,0.0,5.74,0.0,5.54,8.37,0,0,0,0,0,1,0,1,0
1754.14,302.2,5,18.9,0.0,0.64,0.66,0.0,0.0,0.49,0.49,0.0,0.62,0.0,2.38,5.45,0.0,0.0,3.96,10.39,0.0,8.17,0,0,0,0,0,1,0,0,0
2189.99,284.16,6,17.8,0.0,0.32,0.47,0.4,0.0,0.4,0.0,0.76,0.61,0.0,3.6,6.35,10.15,0.0,5.01,0.0,8.69,8.18,0,0,1,1,0,0,0,1,1
1989.39,213.6,5,13.3,0.39,0.0,0.52,0.0,0.42,0.45,0.0,0.63,0.0,8.55,0.0,10.23,0.0,2.72,6.64,0.0,13.19,0.0,0,0,0,0,1,1,0,0,0
1788.42,273.96,4,17.1,0.0,0.0,0.71,0.0,0.34,0.0,0.43,0.86,0.0,0.0,0.0,8.98,0.0,9.33,0.0,11.69,3.14,0.0,0,0,1,0,1,0,0,1,0
1823.64,211.73,3,13.2,0.0,0.0,0.0,0.0,0.67,0.48,0.0,0.0,0.72,0.0,0.0,0.0,0.0,8.74,5.04,0.0,0.0,10.08,0,0,0,0,1,0,0,0,1
4530.0,434.79,7,27.2,0.48,0.79,0.51,0.77,0.64,0.45,0.36,0.0,0.0,13.13,12.47,9.02,12.86,5.8,3.78,12.31,0.0,0.0,0,1,1,1,0,1,0,0,0
4911.11,575.74,7,36.0,0.86,0.0,0.65,0.84,0.49,0.39,0.82,0.56,0.0,4.23,0.0,11.98,4.38,13.0,11.46,10.67,13.95,0.0,0,0,0,0,0,0,1,0,0
4961.56,671.32,8,42.0,0.41,0.53,0.8,0.42,0.85,0.77,0.73,0.0,0.81,3.28,10.21,8.42,6.43,6.95,9.05,10.59,0.0,2.8,1,1,1,1,0,0,0,0,1
3721.26,503.5,9,31.5,0.36,0.71,0.62,0.52,0.55,0.65,0.73,0.4,0.34,9.71,8.46,8.14,9.32,7.92,4.57,4.93,8.87,11.27,0,1,0,0,1,0,1,1,0
4226.12,448.31,7,28.0,0.0,0.62,0.61,0.67,0.6,0.43,0.45,0.0,0.76,0.0,11.41,12.33,5.93,4.99,11.72,10.56,0.0,10.53,0,0,0,0,0,0,0,0,1
3327.12,323.48,5,20.2,0.42,0.0,0.82,0.5,0.45,0.0,0.0,0.0,0.73,8.83,0.0,12.66,13.16,10.16,0.0,0.0,0.0,6.49,0,0,1,1,1,0,0,0,0
4708.85,665.83,9,41.6,0.64,0.34,0.83,0.86,0.71,0.63,0.41,0.67,0.52,5.73,11.83,6.02,4.32,3.32,13.55,12.38,12.23,2.95,0,0,1,1,0,0,0,0,0
1486.69,161.65,2,10.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,11.04,0.0,0.0,0.0,0.0,8.49,0.0,0,0,1,0,0,0,0,1,0
4383.17,589.34,8,36.8,0.85,0.69,0.75,0.0,0.35,0.77,0.5,0.62,0.44,2.58,10.17,11.58,0.0,13.58,7.33,11.97,4.96,2.6,1,1,0,0,0,1,1,0,1
3247.55,430.5,6,26.9,0.33,0.71,0.0,0.78,0.88,0.57,0.0,0.0,0.33,8.01,7.62,0.0,3.79,11.84,5.86,0.0,0.0,2.18,1,0,0,1,0,1,0,0,0
4511.77,538.14,8,33.6,0.6,0.58,0.0,0.39,0.79,0.49,0.77,0.79,0.31,8.26,10.39,0.0,10.09,12.9,10.22,4.54,5.81,5.21,1,1,0,0,1,0,0,0,0
4102.17,509.97,7,31.9,0.0,0.72,0.0,0.7,0.84,0.71,0.43,0.49,0.46,0.0,6.09,0.0,12.97,12.05,2.71,4.98,8.11,3.07,0,1,0,0,0,1,0,0,1
2014.47,248.73,4,15.5,0.51,0.0,0.0,0.0,0.8,0.0,0.0,0.61,0.35,5.3,0.0,0.0,0.0,7.74,0.0,0.0,11.99,4.45,1,0,0,0,1,0,0,0,0
4086.2,435.28,4,27.2,0.0,0.0,0.67,0.77,0.0,0.88,0.0,0.8,0.0,0.0,0.0,9.96,11.33,0.0,6.28,0.0,10.92,0.0,0,0,1,0,0,1,0,1,0
1775.81,242.53,3,15.2,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.75,0.47,0.0,0.0,0.0,9.54,0.0,0.0,0.0,5.1,7.02,0,0,0,0,0,0,0,1,0
961.28,167.56,2,10.5,0.0,0.0,0.0,0.0,0.89,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,8.28,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
941.9,85.2,1,5.3,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2783.57,282.48,5,17.7,0.42,0.0,0.0,0.0,0.44,0.7,0.65,0.55,0.0,9.88,0.0,0.0,0.0,4.89,12.42,8.57,10.63,0.0,0,0,0,0,0,0,0,1,0
5213.6,659.22,7,41.2,0.69,0.87,0.0,0.36,0.0,0.82,0.63,0.73,0.86,9.77,8.09,0.0,12.76,0.0,10.57,10.61,4.67,4.1,0,1,0,1,0,1,1,0,0
3474.13,685.63,9,42.9,0.69,0.6,0.62,0.84,0.72,0.73,0.73,0.43,0.41,8.0,5.07,5.1,3.16,8.77,2.19,3.83,7.76,3.2,0,0,1,1,0,0,1,0,1
844.64,150.59,4,9.4,0.6,0.45,0.0,0.36,0.0,0.0,0.39,0.0,0.0,3.84,3.89,0.0,12.85,0.0,0.0,6.01,0.0,0.0,1,0,0,0,0,0,1,0,0
1387.18,213.43,3,13.3,0.0,0.39,0.89,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.95,5.56,0.0,0.0,0.0,9.83,0.0,0.0,0,1,1,0,0,0,0,0,0
1772.68,184.48,3,11.5,0.0,0.5,0.0,0.0,0.5,0.74,0.0,0.0,0.0,0.0,11.46,0.0,0.0,2.0,12.28,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
2610.65,275.78,4,17.2,0.0,0.0,0.55,0.0,0.0,0.81,0.51,0.0,0.56,0.0,0.0,5.69,0.0,0.0,9.92,13.99,0.0,8.46,0,0,0,0,0,0,1,0,0
3916.28,461.04,6,28.8,0.66,0.69,0.48,0.0,0.0,0.7,0.0,0.75,0.62,10.63,9.29,10.28,0.0,0.0,6.71,0.0,3.35,13.69,1,1,0,0,0,0,0,1,1
3319.11,280.69,3,17.5,0.0,0.0,0.71,0.0,0.0,0.54,0.0,0.0,0.88,0.0,0.0,12.64,0.0,0.0,12.43,0.0,0.0,11.07,0,0,1,0,0,0,0,0,0
4956.01,541.25,7,33.8,0.44,0.41,0.83,0.73,0.0,0.0,0.73,0.59,0.75,4.58,12.91,11.81,12.85,0.0,0.0,3.11,8.74,8.86,0,1,1,0,0,0,0,1,0
4137.19,406.3,5,25.4,0.0,0.85,0.79,0.0,0.0,0.0,0.36,0.64,0.64,0.0,13.64,7.37,0.0,0.0,0.0,13.72,13.15,4.46,0,0,0,0,0,0,0,0,0
3350.52,465.97,4,29.1,0.0,0.88,0.57,0.0,0.0,0.0,0.89,0.86,0.0,0.0,8.81,5.61,0.0,0.0,0.0,6.66,6.74,0.0,0,0,1,0,0,0,1,1,0
3169.42,383.65,5,24.0,0.74,0.64,0.0,0.77,0.6,0.0,0.0,0.0,0.5,10.07,7.86,0.0,2.38,11.7,0.0,0.0,0.0,13.89,0,0,0,0,1,0,0,0,1
453.03,128.63,2,8.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,11.91,0.0,0,0,0,0,1,0,0,1,0
4182.11,546.09,9,34.1,0.63,0.47,0.55,0.81,0.3,0.37,0.7,0.8,0.38,8.2,8.85,2.34,4.06,10.22,12.01,5.68,12.72,10.66,0,0,1,1,1,1,0,0,0
908.85,115.04,2,7.2,0.0,0.64,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,10.11,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0,1,0,0,0,0,1,0,0
362.05,88.51,1,5.5,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4288.6,567.39,8,35.5,0.56,0.4,0.4,0.8,0.65,0.0,0.79,0.79,0.48,3.78,4.74,11.69,5.58,4.23,0.0,6.87,13.95,7.83,1,1,1,1,1,0,0,1,0
2467.3,396.0,6,24.8,0.39,0.44,0.78,0.0,0.41,0.0,0.54,0.9,0.0,3.0,6.0,12.31,0.0,8.43,0.0,5.56,2.03,0.0,1,1,1,0,1,0,0,0,0
218.88,23.48,1,1.5,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4967.57,760.43,8,47.5,0.31,0.87,0.57,0.67,0.81,0.74,0.88,0.0,0.81,3.95,11.06,8.76,4.7,6.1,3.83,6.14,0.0,4.98,0,0,1,1,1,0,0,0,0
570.49,45.72,1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48,0.0,0.0,0,0,0,0,0,0,0,0,0
2219.11,270.52,4,16.9,0.44,0.0,0.0,0.38,0.71,0.0,0.82,0.0,0.0,9.34,0.0,0.0,4.33,11.3,0.0,6.38,0.0,0.0,1,0,0,1,1,0,1,0,0
5395.77,561.46,7,35.1,0.0,0.59,0.72,0.0,0.76,0.72,0.52,0.88,0.36,0.0,9.9,6.51,0.0,10.15,10.19,13.46,9.65,8.16,0,0,1,0,1,1,0,1,1
339.15,89.49,1,5.6,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
1959.45,294.42,5,18.4,0.67,0.0,0.0,0.76,0.48,0.0,0.31,0.55,0.0,6.5,0.0,0.0,2.91,11.32,0.0,2.66,11.81,0.0,0,0,0,0,0,0,0,0,0
4394.75,492.57,5,30.8,0.0,0.0,0.87,0.0,0.77,0.0,0.33,0.79,0.83,0.0,0.0,12.74,0.0,3.53,0.0,12.09,7.22,10.35,0,0,0,0,1,0,0,0,1
3707.49,511.77,6,32.0,0.81,0.0,0.84,0.0,0.38,0.65,0.8,0.56,0.0,3.82,0.0,13.11,0.0,11.19,6.34,3.6,8.26,0.0,1,0,0,0,0,0,0,0,0
2328.48,307.33,4,19.2,0.39,0.0,0.86,0.0,0.76,0.52,0.0,0.0,0.0,4.35,0.0,6.96,0.0,10.73,4.29,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
581.84,201.2,3,12.6,0.42,0.0,0.0,0.0,0.74,0.0,0.64,0.0,0.0,6.5,0.0,0.0,0.0,2.03,0.0,2.5,0.0,0.0,0,0,0,0,0,0,1,0,0
3271.3,410.04,6,25.6,0.53,0.0,0.86,0.0,0.3,0.77,0.0,0.59,0.52,7.42,0.0,4.77,0.0,4.24,13.18,0.0,11.12,3.05,1,0,1,0,0,0,0,1,0
292.44,30.16,1,1.9,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
797.97,83.38,1,5.2,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
1401.6,165.42,3,10.3,0.0,0.6,0.0,0.0,0.68,0.33,0.0,0.0,0.0,0.0,8.16,0.0,0.0,7.52,13.41,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
5349.76,743.97,8,46.5,0.71,0.61,0.0,0.59,0.58,0.87,0.89,0.81,0.65,3.34,4.53,0.0,3.82,11.96,6.9,8.67,10.95,4.98,1,0,0,0,1,0,0,1,0
1475.51,193.2,3,12.1,0.0,0.0,0.0,0.39,0.8,0.54,0.0,0.0,0.0,0.0,0.0,0.0,7.42,6.9,9.34,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
3123.98,339.89,7,21.2,0.39,0.0,0.46,0.57,0.0,0.67,0.65,0.43,0.41,10.36,0.0,4.72,8.62,0.0,7.08,13.77,10.22,7.77,1,0,0,0,0,0,0,0,0
2235.78,302.69,3,18.9,0.72,0.0,0.0,0.63,0.0,0.0,0.89,0.0,0.0,3.27,0.0,0.0,7.5,0.0,0.0,10.02,0.0,0.0,0,0,0,1,0,0,0,0,0
629.43,61.85,2,3.9,0.36,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,8.08,0.0,0.0,0.0,0.0,11.46,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
967.91,199.56,3,12.5,0.0,0.0,0.68,0.0,0.0,0.0,0.6,0.55,0.0,0.0,0.0,3.05,0.0,0.0,0.0,8.96,2.6,0.0,0,0,1,0,0,0,1,0,0
1839.47,263.92,7,16.5,0.36,0.38,0.35,0.37,0.75,0.53,0.0,0.33,0.0,8.29,2.48,4.23,11.27,8.63,3.04,0.0,10.59,0.0,0,1,0,1,1,0,0,0,0
1125.03,182.4,3,11.4,0.0,0.0,0.0,0.76,0.0,0.35,0.56,0.0,0.0,0.0,0.0,0.0,2.5,0.0,9.75,11.49,0.0,0.0,0,0,0,1,0,0,0,0,0
1360.12,215.95,3,13.5,0.82,0.0,0.0,0.32,0.0,0.0,0.0,0.66,0.0,8.85,0.0,0.0,3.02,0.0,0.0,0.0,3.17,0.0,0,0,0,1,0,0,0,1,0
3597.44,461.34,8,28.8,0.64,0.46,0.66,0.35,0.88,0.61,0.0,0.36,0.35,3.7,5.74,8.66,3.51,7.93,13.05,0.0,3.52,13.99,1,1,0,0,0,0,0,0,0
2756.47,412.76,6,25.8,0.38,0.0,0.0,0.38,0.6,0.85,0.0,0.38,0.9,9.8,0.0,0.0,9.7,10.29,3.52,0.0,5.05,7.12,1,0,0,1,1,1,0,0,0
